DESCRICAO                                              NAME                                                   
Tempo de Gestante Válido                               mdvlTempoGestante                                      
Tipo da Estatura da Gestante                           mdTipoEsturaGestante                                   
Tipo da Estatura da Gestante                           mdTipoEstaturaGestante                                 
Tipo de Lesão                                          mdLesaoPac                                             
Z-Score Estatura/Idade                                 mdZScoreEI                                             
Z-Score Estatura/Idade -1 Desvio Padrão                mdZN1DEEI                                              
Z-Score Peso/Estatura                                  mdZScorePE                                             
Z-Score Peso/Estatura -1 Desvio Padrão                 mdZN1DEPE                                              
Z-Score Peso/Idade                                     mdZScorePI                                             
Z-Score Peso/Idade -1 Desvio Padrão                    mdZN1DEPI                                              
ZScore da Estatura/Idade Válido                        mdvlprZScoreEI                                         
ZScore do Peso/Estatura Válido                         mdvlprZScorePE                                         
ZScore do Peso/Idade Válido                            mdvlprZScorePI                                         
kcal por kg pela RDA                                   mdkcalkgRDA                                            
Área Muscular do Braço                                 mdAMB                                                  
Área Muscular do Braço (descontado osso)               mdAMBSO                                                
Área Muscular do Braço (descontado osso) Fator 1       mdAMBSOF1                                              
Área Muscular do Braço Válida                          mdvlprAMB                                              
Área Muscular do Braço sem Osso Válida                 mdvlprAMBSO                                            
É Pós-menarca até 2 anos                               mdPosMenarcaAte2Anos                                   
Índice de Massa Corporal (IMC)                         mdIMCA                                                 
Índice de Massa Corporal Pré-gestacional               mdIMCPG                                                
Índice de Massa Corporal Válida                        mdvlprIMC                                              
